,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,37,entrepreneur,single,tertiary,no,1467,yes,yes,cellular,17,nov,349,1,-1,0,unknown,no
1,25,unemployed,single,secondary,no,34,no,yes,unknown,4,jul,316,1,-1,0,unknown,no
2,53,retired,married,secondary,no,1278,yes,no,telephone,15,jul,174,3,-1,0,unknown,no
3,31,housemaid,married,unknown,yes,-6,no,yes,telephone,7,jul,94,2,-1,0,unknown,no
4,43,unemployed,married,secondary,no,3529,no,no,cellular,5,feb,169,2,-1,0,unknown,no
5,42,management,single,tertiary,no,10907,no,no,cellular,4,may,74,3,-1,0,unknown,no
6,44,services,married,secondary,no,5780,yes,no,cellular,1,apr,525,2,-1,0,unknown,no
7,27,self-employed,single,secondary,no,50,no,no,cellular,29,jan,168,1,-1,0,unknown,no
8,52,admin.,married,secondary,no,693,no,no,unknown,12,jun,271,1,-1,0,unknown,no
9,42,blue-collar,married,unknown,no,-406,yes,no,cellular,30,jul,152,5,-1,0,unknown,no
10,30,management,married,tertiary,no,102,yes,no,cellular,5,apr,470,7,426,3,other,yes
11,39,management,married,tertiary,no,-606,yes,no,unknown,26,may,142,1,-1,0,unknown,no
12,29,self-employed,single,secondary,no,3672,yes,yes,unknown,28,may,1210,1,-1,0,unknown,no
13,29,self-employed,married,tertiary,no,751,yes,no,unknown,23,may,121,2,-1,0,unknown,no
14,34,admin.,married,secondary,no,5320,no,no,cellular,3,mar,114,6,467,5,other,no
15,21,student,single,unknown,no,137,yes,no,unknown,12,may,198,3,-1,0,unknown,no
16,56,retired,married,tertiary,no,478,no,no,cellular,5,feb,97,1,-1,0,unknown,no
17,29,management,single,tertiary,no,3357,no,no,cellular,21,jul,120,3,-1,0,unknown,no
18,29,blue-collar,single,secondary,no,309,yes,no,cellular,11,may,471,3,-1,0,unknown,no
19,29,entrepreneur,single,secondary,no,404,no,no,cellular,30,jan,413,3,-1,0,unknown,no
20,47,management,single,tertiary,no,4402,no,no,telephone,10,dec,805,1,190,1,other,yes
21,31,admin.,single,secondary,no,1306,yes,no,unknown,28,may,217,5,-1,0,unknown,no
22,35,management,married,tertiary,no,8,yes,no,unknown,23,may,55,4,-1,0,unknown,no
23,34,admin.,married,secondary,no,61,no,yes,unknown,5,may,21,1,-1,0,unknown,no
24,48,blue-collar,married,unknown,no,439,yes,no,cellular,2,feb,212,1,249,2,other,no
25,55,entrepreneur,married,secondary,no,204,no,no,cellular,14,jul,455,13,-1,0,unknown,no
26,40,technician,married,secondary,no,169,yes,no,cellular,18,aug,43,4,-1,0,unknown,no
27,52,technician,married,secondary,no,3554,no,yes,cellular,8,jul,89,1,-1,0,unknown,no
28,42,blue-collar,married,secondary,no,230,yes,no,unknown,5,jun,175,7,-1,0,unknown,no
29,56,admin.,divorced,secondary,yes,-435,yes,yes,unknown,9,may,185,2,-1,0,unknown,no
30,51,technician,divorced,secondary,no,2323,yes,yes,cellular,18,aug,151,10,-1,0,unknown,no
31,33,blue-collar,married,secondary,no,0,yes,yes,cellular,28,jul,83,12,-1,0,unknown,no
32,37,blue-collar,married,primary,no,0,yes,no,cellular,6,may,226,1,363,3,other,no
33,54,blue-collar,married,primary,no,211,no,no,unknown,19,jun,200,2,-1,0,unknown,no
34,42,student,married,unknown,no,-7,no,no,telephone,31,jul,41,6,-1,0,unknown,no
35,40,management,married,tertiary,no,5,yes,no,cellular,18,nov,219,3,-1,0,unknown,no
36,50,management,married,tertiary,no,4,no,no,cellular,17,nov,223,1,96,2,failure,no
37,43,admin.,married,secondary,no,-465,yes,yes,cellular,23,jul,166,1,-1,0,unknown,no
38,35,technician,divorced,secondary,no,308,no,no,cellular,22,aug,77,2,-1,0,unknown,no
39,49,blue-collar,married,primary,no,305,yes,yes,telephone,10,jul,834,10,-1,0,unknown,no
40,48,technician,married,secondary,no,178,yes,no,unknown,17,jun,320,4,-1,0,unknown,no
41,36,unemployed,married,secondary,no,-129,yes,no,cellular,29,jul,121,3,-1,0,unknown,no
42,40,management,married,tertiary,no,1041,yes,no,unknown,12,jun,73,1,-1,0,unknown,no
43,35,services,married,secondary,no,0,no,yes,telephone,9,jul,42,1,-1,0,unknown,no
44,22,student,single,primary,no,3472,no,no,cellular,20,oct,332,1,183,3,failure,yes
45,57,management,married,tertiary,no,1341,yes,no,unknown,8,may,339,2,-1,0,unknown,no
46,49,blue-collar,divorced,unknown,no,39,yes,no,cellular,13,may,27,5,-1,0,unknown,no
47,32,blue-collar,married,secondary,no,1787,yes,no,cellular,12,may,87,4,357,4,failure,no
48,49,technician,single,secondary,no,-97,yes,no,unknown,6,jun,92,2,-1,0,unknown,no
49,48,management,divorced,tertiary,no,1328,yes,no,unknown,6,may,339,1,-1,0,unknown,no
50,25,technician,single,secondary,no,2157,yes,no,cellular,21,jul,339,1,-1,0,unknown,no
51,46,services,married,secondary,no,1550,yes,no,cellular,16,apr,126,2,149,8,failure,no
52,31,self-employed,single,secondary,no,1086,no,no,cellular,20,nov,410,1,-1,0,unknown,no
53,26,technician,single,tertiary,no,75,yes,yes,unknown,19,may,351,1,-1,0,unknown,no
54,35,technician,divorced,tertiary,no,4515,yes,no,cellular,19,nov,98,2,-1,0,unknown,no
55,55,admin.,married,secondary,no,865,yes,no,cellular,27,oct,96,1,111,3,failure,no
56,26,services,single,secondary,no,0,no,no,cellular,29,jul,165,23,-1,0,unknown,no
57,50,self-employed,divorced,tertiary,no,59,yes,no,unknown,28,may,67,2,-1,0,unknown,no
58,34,student,married,unknown,no,1387,no,no,cellular,30,apr,121,1,-1,0,unknown,no
59,51,unemployed,married,tertiary,no,1634,yes,no,cellular,22,jul,168,4,-1,0,unknown,no
60,50,admin.,divorced,secondary,no,769,no,no,cellular,28,jul,72,2,363,4,failure,no
61,30,blue-collar,married,primary,no,1,yes,yes,telephone,22,jul,80,2,-1,0,unknown,no
62,40,management,married,tertiary,no,294,yes,no,cellular,23,jul,97,5,-1,0,unknown,no
63,33,management,married,tertiary,no,287,yes,no,cellular,15,may,199,2,274,3,other,no
64,42,blue-collar,married,secondary,no,130,yes,no,unknown,29,may,285,1,-1,0,unknown,no
65,37,services,single,secondary,no,1175,yes,no,cellular,15,may,102,1,333,2,failure,no
66,47,technician,married,unknown,no,2106,yes,no,unknown,6,may,168,1,-1,0,unknown,no
67,52,admin.,married,secondary,no,395,yes,no,unknown,15,may,391,3,-1,0,unknown,no
68,40,technician,married,secondary,no,56,yes,yes,cellular,29,jan,194,1,247,1,failure,no
69,26,technician,single,tertiary,no,1216,yes,no,cellular,16,apr,472,2,-1,0,unknown,no
70,51,admin.,married,secondary,no,1415,yes,no,unknown,2,jun,151,3,-1,0,unknown,no
71,35,technician,married,secondary,no,94,yes,yes,unknown,14,may,208,5,-1,0,unknown,no
72,45,technician,single,tertiary,no,2087,no,no,cellular,29,aug,29,14,-1,0,unknown,no
73,35,services,married,secondary,no,195,yes,no,cellular,17,apr,203,1,-1,0,unknown,no
74,31,management,married,tertiary,no,156,no,no,cellular,13,aug,657,7,-1,0,unknown,yes
75,48,management,married,tertiary,no,586,yes,yes,cellular,6,may,179,2,-1,0,unknown,no
76,34,management,single,tertiary,no,2679,yes,no,cellular,7,may,195,1,-1,0,unknown,no
77,30,management,married,tertiary,no,562,no,no,cellular,21,aug,137,4,-1,0,unknown,no
78,40,self-employed,married,primary,no,92,yes,no,unknown,13,may,92,1,-1,0,unknown,no
79,32,management,single,tertiary,no,697,no,no,cellular,7,aug,119,1,99,3,failure,no
80,53,management,married,primary,no,2096,no,no,unknown,9,jun,104,1,-1,0,unknown,no
81,37,blue-collar,married,secondary,no,132,no,no,unknown,27,may,336,2,-1,0,unknown,no
82,49,admin.,married,secondary,no,197,yes,no,cellular,13,apr,223,1,182,2,failure,yes
83,34,blue-collar,married,secondary,no,584,yes,no,cellular,18,jul,154,2,-1,0,unknown,no
84,44,management,married,secondary,no,8262,yes,no,cellular,23,jul,201,16,-1,0,unknown,no
85,47,technician,married,secondary,no,-938,yes,no,unknown,28,may,176,2,-1,0,unknown,no
86,27,blue-collar,single,primary,no,-179,yes,no,cellular,15,may,54,2,-1,0,unknown,no
87,46,management,divorced,tertiary,no,624,no,no,cellular,17,sep,336,2,183,2,success,yes
88,44,technician,divorced,secondary,no,0,no,no,cellular,28,jul,264,5,-1,0,unknown,no
89,55,blue-collar,married,secondary,no,383,no,no,unknown,5,may,287,1,-1,0,unknown,no
90,29,blue-collar,single,secondary,no,555,yes,no,cellular,15,may,133,4,-1,0,unknown,no
91,29,management,single,secondary,no,584,yes,no,unknown,16,jun,541,19,-1,0,unknown,no
92,51,technician,married,secondary,no,-379,yes,no,cellular,5,aug,261,1,-1,0,unknown,no
93,59,blue-collar,married,secondary,no,681,yes,no,telephone,14,apr,427,2,-1,0,unknown,no
94,38,management,single,tertiary,no,493,yes,no,cellular,11,may,553,1,367,7,failure,no
95,42,technician,divorced,secondary,no,1533,no,yes,cellular,5,aug,86,1,-1,0,unknown,no
96,47,technician,married,secondary,no,1990,yes,yes,cellular,25,aug,108,4,-1,0,unknown,no
97,35,management,single,secondary,no,81,yes,no,cellular,29,jan,79,1,-1,0,unknown,no
98,44,services,single,secondary,no,5045,yes,no,cellular,21,nov,20,6,175,15,other,no
99,38,entrepreneur,married,secondary,no,157,no,yes,cellular,15,may,57,11,366,1,other,no
100,49,blue-collar,married,unknown,no,51,yes,no,unknown,7,may,984,1,-1,0,unknown,no
101,32,management,single,tertiary,no,656,yes,yes,cellular,20,apr,148,2,-1,0,unknown,no
102,45,technician,married,unknown,no,473,yes,no,unknown,27,may,147,1,-1,0,unknown,no
103,40,services,married,secondary,no,113,yes,no,unknown,4,jun,126,1,-1,0,unknown,no
104,49,entrepreneur,married,primary,no,199,no,no,unknown,13,may,113,2,-1,0,unknown,no
105,30,services,single,secondary,no,209,yes,no,unknown,6,may,30,2,-1,0,unknown,no
106,47,management,married,tertiary,no,109,yes,no,cellular,22,jul,268,1,-1,0,unknown,no
107,34,technician,married,secondary,no,50,no,no,cellular,11,aug,106,3,-1,0,unknown,no
108,26,management,single,tertiary,no,122,no,yes,cellular,8,jul,160,1,-1,0,unknown,no
109,47,services,married,secondary,no,440,yes,no,unknown,12,jun,91,1,-1,0,unknown,no
110,52,unemployed,married,primary,no,20,yes,no,telephone,28,jan,172,1,-1,0,unknown,no
111,37,management,married,tertiary,no,1689,yes,no,unknown,29,may,645,2,-1,0,unknown,no
112,48,technician,married,secondary,no,17,yes,yes,cellular,17,nov,81,1,-1,0,unknown,no
113,61,management,married,secondary,no,1471,no,no,cellular,12,aug,331,2,-1,0,unknown,no
114,42,blue-collar,married,secondary,no,-422,no,no,cellular,9,jul,31,1,-1,0,unknown,no
115,43,self-employed,married,secondary,no,104,no,no,unknown,17,jun,332,1,-1,0,unknown,no
